city,city_country,station_id,latitude,longitude,elevation,annual_avg_temp_c,annual_min_temp_c,annual_max_temp_c,annual_extreme_min_c,annual_extreme_max_c,annual_precip_mm,annual_avg_pres_hpa,annual_total_sun_h,annual_avg_daily_sun_h,avg_comfort_index,best_comfort_index,best_comfort_month,wet_month_count,cold_month_count,hot_month_count,years_of_data,data_coverage_pct
Aarhus,Denmark,06070,56.3,10.6167,23,9.38,-7.6,26.3,-18.4,32.2,1262.7,1013.92,0.0,,6.17,9.58,7,9,90,0,14,100.0
Abu Dhabi,United Arab Emirates,41216,24.4333,54.4667,5,29.1,15.7,44.0,12.0,48.0,69.3,1008.61,0.0,,7.74,10.0,12,9,0,96,14,100.0
Acapulco,Mexico,76805,16.8333,-99.9333,13,27.98,18.7,36.3,14.6,38.8,18597.6,1011.78,40486.0,8.82,9.38,10.0,1,83,0,86,14,100.0
Accra,Ghana,65472,5.6,-0.1667,68,27.9,20.9,34.0,2.9,39.5,8755.5,1011.74,8647.0,6.63,8.45,10.0,1,61,0,87,14,100.0
Ajaccio,France,07761,41.9167,8.8,6,16.25,1.2,31.6,-4.0,40.1,9272.0,1015.74,39901.0,7.84,9.03,10.0,5,82,23,0,14,100.0
Akureyri,Iceland,04063,65.6833,-18.0833,23,4.43,-8.2,19.5,-23.0,27.5,8768.0,1006.58,15308.0,3.01,5.37,9.99,7,83,137,0,14,100.0
Alexandria,Egypt,62318,31.2,29.95,-2,21.62,7.7,33.5,0.7,44.5,3398.8,1014.52,6043.03,8.61,8.74,10.0,11,76,0,21,14,100.0
Algarve,Portugal,08554,37.0167,-7.9667,7,18.43,6.4,31.9,0.6,39.9,1541.5,1018.13,1106.0,9.15,8.58,10.0,6,19,0,0,14,100.0
Almaty,Kazakhstan,36870,43.2333,76.9333,847,11.02,-13.3,33.8,-31.0,40.7,9110.5,1018.09,27398.0,5.76,7.2,10.0,5,83,75,0,14,100.0
Amritsar,India,42071,31.6333,74.8667,229,23.31,1.4,42.8,-2.0,47.6,10661.0,1008.21,27587.0,6.18,8.94,10.0,3,83,2,69,14,100.0
Amsterdam,Netherlands,06240,52.3,4.7667,-4,11.0,-3.4,25.6,-17.8,36.1,1686.5,1015.17,0.0,,6.65,9.58,7,10,78,0,14,100.0
Anchorage,United States,PALH0,61.18,-149.9719,22,3.73,-19.4,22.9,-25.6,31.7,0.0,1008.84,0.0,,4.53,8.98,7,0,108,0,14,100.0
Ankara,Turkey,17130,39.95,32.8833,891,13.4,-6.3,35.2,-16.0,41.0,6139.5,1014.53,28187.0,6.13,7.96,10.0,5,83,67,2,14,100.0
Annecy,France,LFLP0,45.9347,6.1053,463,10.92,-6.1,30.2,-14.7,38.0,113.3,1018.19,0.0,,6.65,10.0,7,0,75,0,14,98.7
Antalya,Turkey,17300,36.7,30.7333,50,19.93,4.2,36.8,-1.8,44.8,12600.0,1012.74,13663.0,6.58,8.4,10.0,4,84,5,27,14,100.0
Antananarivo,Madagascar,67085,-18.8667,47.5,1310,18.32,9.6,29.3,5.1,32.9,5588.5,1018.21,0.0,,8.36,9.85,1,25,0,0,7,94.3
Antigua,Guatemala,78641,14.5833,-90.5167,1489,19.52,12.5,28.5,8.0,32.0,3066.5,1021.92,0.0,,9.16,10.0,5,10,0,0,14,100.0
Antofagasta,Chile,85442,-23.4333,-70.4333,135,16.59,9.6,25.7,6.1,30.3,98.5,1014.84,41449.0,8.17,9.84,10.0,1,51,0,0,14,100.0
Antwerp,Belgium,06450,51.2,4.4667,12,11.55,-2.9,27.5,-15.0,40.2,1487.0,1016.01,0.0,,6.82,9.94,7,9,72,0,14,97.0
Apia,Samoa,91762,-13.8,-171.7833,2,27.02,22.7,36.1,18.2,36.2,35273.0,1010.35,0.0,,7.38,8.89,1,68,0,3,14,94.9
Arequipa,Peru,84752,-16.3167,-71.55,2538,15.33,5.7,23.6,0.2,28.9,1480.4,1024.88,0.0,,7.95,9.43,5,70,0,0,14,100.0
Arica,Chile,85406,-18.3333,-70.3333,58,19.17,12.8,27.5,9.3,30.0,52.0,1014.48,30655.0,6.19,9.83,10.0,1,50,0,0,14,98.2
Ashgabat,Turkmenistan,38880,37.9667,58.3333,210,16.86,-5.8,40.9,-18.0,47.0,2962.5,1016.16,29785.0,6.55,8.29,10.0,5,77,55,36,14,100.0
Astana,Kazakhstan,35188,51.1333,71.3667,348,4.42,-24.7,31.7,-34.5,38.4,4957.5,1020.4,9470.0,6.48,5.09,10.0,5,84,96,0,14,100.0
Asturias,Spain,08015,43.35,-5.8667,335,13.69,2.3,25.3,-4.0,39.0,15131.3,1018.34,24968.0,5.06,8.34,10.0,7,83,39,0,14,100.0
Asunción,Paraguay,86218,-25.2667,-57.6333,101,23.23,9.4,37.2,-1.2,43.0,19919.5,1012.6,36836.0,7.53,9.83,10.0,8,84,0,18,14,100.0
